Location Names,San Bautista
2017-08-01 07:00:00,0.0
2017-08-02 07:00:00,0.0
2017-08-03 07:00:00,0.0
2017-08-04 07:00:00,0.0
2017-08-05 07:00:00,0.0
2017-08-06 07:00:00,0.0
2017-08-07 07:00:00,0.0
2017-08-08 07:00:00,0.0
2017-08-09 07:00:00,0.0
2017-08-10 07:00:00,0.0
2017-08-11 07:00:00,14.0
2017-08-12 07:00:00,4.0
2017-08-13 07:00:00,0.0
2017-08-14 07:00:00,0.0
2017-08-15 07:00:00,2.0
2017-08-16 07:00:00,0.0
2017-08-17 07:00:00,0.0
2017-08-18 07:00:00,4.5
2017-08-19 07:00:00,7.0
2017-08-20 07:00:00,0.0
2017-08-21 07:00:00,0.0
2017-08-22 07:00:00,0.0
2017-08-23 07:00:00,15.0
2017-08-24 07:00:00,48.0
2017-08-25 07:00:00,100.0
2017-08-26 07:00:00,18.0
2017-08-27 07:00:00,0.0
2017-08-28 07:00:00,20.0
2017-08-29 07:00:00,7.0
2017-08-30 07:00:00,0.0
2017-08-31 07:00:00,0.0
2017-09-01 07:00:00,0.0
2017-09-02 07:00:00,0.0
2017-09-03 07:00:00,25.0
2017-09-04 07:00:00,9.0
2017-09-05 07:00:00,0.0
2017-09-06 07:00:00,0.0
2017-09-07 07:00:00,28.0
2017-09-08 07:00:00,15.5
2017-09-09 07:00:00,21.0
2017-09-10 07:00:00,61.0
2017-09-11 07:00:00,0.0
2017-09-12 07:00:00,0.0
2017-09-13 07:00:00,0.0
2017-09-14 07:00:00,0.0
2017-09-15 07:00:00,0.0
2017-09-16 07:00:00,0.0
2017-09-17 07:00:00,0.0
2017-09-18 07:00:00,0.0
2017-09-19 07:00:00,0.0
2017-09-20 07:00:00,0.0
2017-09-21 07:00:00,13.0
2017-09-22 07:00:00,0.0
2017-09-23 07:00:00,0.0
2017-09-24 07:00:00,0.0
2017-09-25 07:00:00,0.0
2017-09-26 07:00:00,6.0
2017-09-27 07:00:00,0.0
2017-09-28 07:00:00,0.0
2017-09-29 07:00:00,16.0
2017-09-30 07:00:00,0.0
2017-10-01 07:00:00,40.0
2017-10-02 07:00:00,0.0
2017-10-03 07:00:00,0.0
2017-10-04 07:00:00,0.0
2017-10-05 07:00:00,0.0
2017-10-06 07:00:00,0.0
2017-10-07 07:00:00,0.0
2017-10-08 07:00:00,16.0
2017-10-09 07:00:00,0.0
2017-10-10 07:00:00,0.0
2017-10-11 07:00:00,13.0
2017-10-12 07:00:00,2.0
2017-10-13 07:00:00,0.0
2017-10-14 07:00:00,0.0
2017-10-15 07:00:00,0.0
2017-10-16 07:00:00,0.0
2017-10-17 07:00:00,5.8
2017-10-18 07:00:00,0.5
2017-10-19 07:00:00,0.0
2017-10-20 07:00:00,0.0
2017-10-21 07:00:00,3.0
2017-10-22 07:00:00,0.0
2017-10-23 07:00:00,0.0
2017-10-24 07:00:00,0.0
2017-10-25 07:00:00,0.0
2017-10-26 07:00:00,0.0
2017-10-27 07:00:00,35.0
2017-10-28 07:00:00,0.0
2017-10-29 07:00:00,18.0
2017-10-30 07:00:00,0.0
2017-10-31 07:00:00,0.0
2017-11-01 07:00:00,0.0
2017-11-02 07:00:00,13.0
2017-11-03 07:00:00,0.0
2017-11-04 07:00:00,0.0
2017-11-05 07:00:00,0.0
2017-11-06 07:00:00,0.0
2017-11-07 07:00:00,0.0
2017-11-08 07:00:00,40.0
2017-11-09 07:00:00,0.0
2017-11-10 07:00:00,0.0
2017-11-11 07:00:00,0.0
2017-11-12 07:00:00,0.0
2017-11-13 07:00:00,0.0
2017-11-14 07:00:00,0.0
2017-11-15 07:00:00,20.0
2017-11-16 07:00:00,0.0
2017-11-17 07:00:00,0.0
2017-11-18 07:00:00,0.0
2017-11-19 07:00:00,0.0
2017-11-20 07:00:00,3.0
2017-11-21 07:00:00,0.0
2017-11-22 07:00:00,0.0
2017-11-23 07:00:00,0.0
2017-11-24 07:00:00,0.0
2017-11-25 07:00:00,0.0
2017-11-26 07:00:00,0.0
2017-11-27 07:00:00,0.0
2017-11-28 07:00:00,0.0
2017-11-29 07:00:00,0.0
2017-11-30 07:00:00,0.0
2017-12-01 07:00:00,0.0
2017-12-02 07:00:00,0.0
2017-12-03 07:00:00,0.0
2017-12-04 07:00:00,0.0
2017-12-05 07:00:00,0.0
2017-12-06 07:00:00,6.0
2017-12-07 07:00:00,0.0
2017-12-08 07:00:00,0.0
2017-12-09 07:00:00,0.0
2017-12-10 07:00:00,0.0
2017-12-11 07:00:00,0.0
2017-12-12 07:00:00,0.0
2017-12-13 07:00:00,0.0
2017-12-14 07:00:00,0.0
2017-12-15 07:00:00,0.0
2017-12-16 07:00:00,50.0
2017-12-17 07:00:00,0.0
2017-12-18 07:00:00,0.0
2017-12-19 07:00:00,0.0
2017-12-20 07:00:00,0.0
2017-12-21 07:00:00,0.0
2017-12-22 07:00:00,0.0
2017-12-23 07:00:00,0.0
2017-12-24 07:00:00,0.0
2017-12-25 07:00:00,0.0
2017-12-26 07:00:00,0.0
2017-12-27 07:00:00,0.0
2017-12-28 07:00:00,0.0
2017-12-29 07:00:00,0.0
2017-12-30 07:00:00,0.0
2017-12-31 07:00:00,0.0
2018-01-01 07:00:00,0.0
2018-01-02 07:00:00,0.0
2018-01-03 07:00:00,0.0
2018-01-04 07:00:00,0.0
2018-01-05 07:00:00,0.0
2018-01-06 07:00:00,0.0
2018-01-07 07:00:00,0.0
2018-01-08 07:00:00,0.0
2018-01-09 07:00:00,0.0
2018-01-10 07:00:00,0.0
2018-01-11 07:00:00,0.0
2018-01-12 07:00:00,0.0
2018-01-13 07:00:00,10.0
2018-01-14 07:00:00,35.0
2018-01-15 07:00:00,0.0
2018-01-16 07:00:00,0.0
2018-01-17 07:00:00,13.0
2018-01-18 07:00:00,0.0
2018-01-19 07:00:00,0.0
2018-01-20 07:00:00,0.0
2018-01-21 07:00:00,0.0
2018-01-22 07:00:00,0.0
2018-01-23 07:00:00,35.0
2018-01-24 07:00:00,0.0
2018-01-25 07:00:00,0.0
2018-01-26 07:00:00,0.0
2018-01-27 07:00:00,0.0
2018-01-28 07:00:00,0.0
2018-01-29 07:00:00,0.0
2018-01-30 07:00:00,0.0
2018-01-31 07:00:00,0.0
2018-02-01 07:00:00,0.0
2018-02-02 07:00:00,0.0
2018-02-03 07:00:00,0.0
2018-02-04 07:00:00,0.0
2018-02-05 07:00:00,0.0
2018-02-06 07:00:00,0.0
2018-02-07 07:00:00,0.0
2018-02-08 07:00:00,0.0
2018-02-09 07:00:00,21.0
2018-02-10 07:00:00,0.0
2018-02-11 07:00:00,0.0
2018-02-12 07:00:00,0.0
2018-02-13 07:00:00,0.0
2018-02-14 07:00:00,0.0
2018-02-15 07:00:00,0.0
2018-02-16 07:00:00,0.0
2018-02-17 07:00:00,0.0
2018-02-18 07:00:00,0.0
2018-02-19 07:00:00,27.0
2018-02-20 07:00:00,0.0
2018-02-21 07:00:00,2.0
2018-02-22 07:00:00,0.0
2018-02-23 07:00:00,0.0
2018-02-24 07:00:00,0.0
2018-02-25 07:00:00,0.0
2018-02-26 07:00:00,0.0
2018-02-27 07:00:00,0.0
2018-02-28 07:00:00,0.0
2018-03-01 07:00:00,0.0
2018-03-02 07:00:00,0.0
2018-03-03 07:00:00,0.0
2018-03-04 07:00:00,0.0
2018-03-05 07:00:00,0.0
2018-03-06 07:00:00,0.0
2018-03-07 07:00:00,0.0
2018-03-08 07:00:00,0.0
2018-03-09 07:00:00,0.0
2018-03-10 07:00:00,0.1
2018-03-11 07:00:00,0.0
2018-03-12 07:00:00,0.0
2018-03-13 07:00:00,0.0
2018-03-14 07:00:00,9.5
2018-03-15 07:00:00,0.0
2018-03-16 07:00:00,0.0
2018-03-17 07:00:00,40.0
2018-03-18 07:00:00,150.0
2018-03-19 07:00:00,0.0
2018-03-20 07:00:00,0.0
2018-03-21 07:00:00,0.0
2018-03-22 07:00:00,0.0
2018-03-23 07:00:00,0.0
2018-03-24 07:00:00,1.5
2018-03-25 07:00:00,0.0
2018-03-26 07:00:00,0.0
2018-03-27 07:00:00,0.0
2018-03-28 07:00:00,0.0
2018-03-29 07:00:00,0.0
2018-03-30 07:00:00,0.0
2018-03-31 07:00:00,0.0
2018-04-01 07:00:00,0.0
2018-04-02 07:00:00,0.0
2018-04-03 07:00:00,0.0
2018-04-04 07:00:00,0.0
2018-04-05 07:00:00,0.0
2018-04-06 07:00:00,10.0
2018-04-07 07:00:00,0.0
2018-04-08 07:00:00,4.5
2018-04-09 07:00:00,0.0
2018-04-10 07:00:00,0.0
2018-04-11 07:00:00,50.0
2018-04-12 07:00:00,0.0
2018-04-13 07:00:00,0.0
2018-04-14 07:00:00,0.0
2018-04-15 07:00:00,0.0
2018-04-16 07:00:00,0.0
2018-04-17 07:00:00,0.0
2018-04-18 07:00:00,0.0
2018-04-19 07:00:00,0.0
2018-04-20 07:00:00,15.0
2018-04-21 07:00:00,1.0
2018-04-22 07:00:00,2.0
2018-04-23 07:00:00,0.0
2018-04-24 07:00:00,0.0
2018-04-25 07:00:00,0.0
2018-04-26 07:00:00,0.0
2018-04-27 07:00:00,0.5
2018-04-28 07:00:00,4.5
2018-04-29 07:00:00,3.5
2018-04-30 07:00:00,0.0
2018-05-01 07:00:00,0.0
2018-05-02 07:00:00,1.5
2018-05-03 07:00:00,0.0
2018-05-04 07:00:00,0.0
2018-05-05 07:00:00,0.0
2018-05-06 07:00:00,0.0
2018-05-07 07:00:00,0.0
2018-05-08 07:00:00,12.0
2018-05-09 07:00:00,0.0
2018-05-10 07:00:00,14.0
2018-05-11 07:00:00,0.0
2018-05-12 07:00:00,0.0
2018-05-13 07:00:00,0.0
2018-05-14 07:00:00,0.0
2018-05-15 07:00:00,0.0
2018-05-16 07:00:00,0.0
2018-05-17 07:00:00,0.0
2018-05-18 07:00:00,0.0
2018-05-19 07:00:00,0.0
2018-05-20 07:00:00,0.0
2018-05-21 07:00:00,0.0
2018-05-22 07:00:00,0.0
2018-05-23 07:00:00,0.0
2018-05-24 07:00:00,0.0
2018-05-25 07:00:00,0.0
2018-05-26 07:00:00,0.0
2018-05-27 07:00:00,0.0
2018-05-28 07:00:00,0.0
2018-05-29 07:00:00,0.0
2018-05-30 07:00:00,30.0
2018-05-31 07:00:00,15.0
2018-06-01 07:00:00,10.0
2018-06-02 07:00:00,30.0
2018-06-03 07:00:00,0.0
2018-06-04 07:00:00,5.0
2018-06-05 07:00:00,0.0
2018-06-06 07:00:00,0.0
2018-06-07 07:00:00,0.0
2018-06-08 07:00:00,0.0
2018-06-09 07:00:00,0.0
2018-06-10 07:00:00,0.0
2018-06-11 07:00:00,0.0
2018-06-12 07:00:00,5.0
2018-06-13 07:00:00,0.0
2018-06-14 07:00:00,0.0
2018-06-15 07:00:00,0.0
2018-06-16 07:00:00,0.0
2018-06-17 07:00:00,0.0
2018-06-18 07:00:00,0.0
2018-06-19 07:00:00,0.0
2018-06-20 07:00:00,10.0
2018-06-21 07:00:00,0.0
2018-06-22 07:00:00,0.0
2018-06-23 07:00:00,0.0
2018-06-24 07:00:00,0.0
2018-06-25 07:00:00,0.0
2018-06-26 07:00:00,0.0
2018-06-27 07:00:00,0.0
2018-06-28 07:00:00,4.0
2018-06-29 07:00:00,33.0
2018-06-30 07:00:00,0.0
2018-07-01 07:00:00,0.0
2018-07-02 07:00:00,0.0
2018-07-03 07:00:00,0.0
2018-07-04 07:00:00,0.0
2018-07-05 07:00:00,0.0
2018-07-06 07:00:00,3.8
2018-07-07 07:00:00,35.0
2018-07-08 07:00:00,0.0
2018-07-09 07:00:00,0.0
2018-07-10 07:00:00,0.0
2018-07-11 07:00:00,0.0
2018-07-12 07:00:00,0.0
2018-07-13 07:00:00,0.0
2018-07-14 07:00:00,0.0
2018-07-15 07:00:00,0.0
2018-07-16 07:00:00,0.0
2018-07-17 07:00:00,0.0
2018-07-18 07:00:00,14.0
2018-07-19 07:00:00,60.0
2018-07-20 07:00:00,8.0
2018-07-21 07:00:00,0.0
2018-07-22 07:00:00,0.0
2018-07-23 07:00:00,0.0
2018-07-24 07:00:00,0.0
2018-07-25 07:00:00,42.0
2018-07-26 07:00:00,9.4
2018-07-27 07:00:00,0.0
2018-07-28 07:00:00,35.0
2018-07-29 07:00:00,4.0
2018-07-30 07:00:00,0.0
2018-07-31 07:00:00,0.0
2018-08-01 07:00:00,0.0
2018-08-02 07:00:00,0.0
2018-08-03 07:00:00,0.0
2018-08-04 07:00:00,2.0
2018-08-05 07:00:00,0.0
2018-08-06 07:00:00,0.0
2018-08-07 07:00:00,0.0
2018-08-08 07:00:00,11.0
2018-08-09 07:00:00,0.0
2018-08-10 07:00:00,0.0
2018-08-11 07:00:00,0.0
2018-08-12 07:00:00,0.0
2018-08-13 07:00:00,12.0
2018-08-14 07:00:00,0.0
2018-08-15 07:00:00,0.0
2018-08-16 07:00:00,0.0
2018-08-17 07:00:00,0.0
2018-08-18 07:00:00,40.0
2018-08-19 07:00:00,0.0
2018-08-20 07:00:00,0.0
2018-08-21 07:00:00,0.0
2018-08-22 07:00:00,0.0
2018-08-23 07:00:00,0.0
2018-08-24 07:00:00,43.0
2018-08-25 07:00:00,0.0
2018-08-26 07:00:00,0.0
2018-08-27 07:00:00,0.0
2018-08-28 07:00:00,0.0
2018-08-29 07:00:00,2.5
2018-08-30 07:00:00,3.8
2018-08-31 07:00:00,0.0
2018-09-01 07:00:00,0.0
2018-09-02 07:00:00,0.0
2018-09-03 07:00:00,0.0
2018-09-04 07:00:00,0.0
2018-09-05 07:00:00,0.0
2018-09-06 07:00:00,0.0
2018-09-07 07:00:00,0.0
2018-09-08 07:00:00,0.0
2018-09-09 07:00:00,0.0
2018-09-10 07:00:00,0.0
2018-09-11 07:00:00,0.0
2018-09-12 07:00:00,0.0
2018-09-13 07:00:00,0.0
2018-09-14 07:00:00,0.0
2018-09-15 07:00:00,0.0
2018-09-16 07:00:00,0.0
2018-09-17 07:00:00,0.0
2018-09-18 07:00:00,5.0
2018-09-19 07:00:00,0.0
2018-09-20 07:00:00,0.0
2018-09-21 07:00:00,0.0
2018-09-22 07:00:00,13.0
2018-09-23 07:00:00,0.0
2018-09-24 07:00:00,0.0
2018-09-25 07:00:00,0.0
2018-09-26 07:00:00,0.0
2018-09-27 07:00:00,3.0
2018-09-28 07:00:00,4.2
2018-09-29 07:00:00,41.0
2018-09-30 07:00:00,25.0
2018-10-01 07:00:00,0.0
2018-10-02 07:00:00,0.0
2018-10-03 07:00:00,0.0
2018-10-04 07:00:00,0.0
2018-10-05 07:00:00,0.0
2018-10-06 07:00:00,0.0
2018-10-07 07:00:00,0.0
2018-10-08 07:00:00,1.5
2018-10-09 07:00:00,0.0
2018-10-10 07:00:00,0.0
2018-10-11 07:00:00,5.2
2018-10-12 07:00:00,2.0
2018-10-13 07:00:00,0.0
2018-10-14 07:00:00,0.0
2018-10-15 07:00:00,0.0
2018-10-16 07:00:00,0.0
2018-10-17 07:00:00,0.0
2018-10-18 07:00:00,0.0
2018-10-19 07:00:00,0.0
2018-10-20 07:00:00,0.0
2018-10-21 07:00:00,0.0
2018-10-22 07:00:00,0.0
2018-10-23 07:00:00,0.0
2018-10-24 07:00:00,4.0
2018-10-25 07:00:00,0.0
2018-10-26 07:00:00,0.0
2018-10-27 07:00:00,0.0
2018-10-28 07:00:00,0.0
2018-10-29 07:00:00,0.0
2018-10-30 07:00:00,0.0
2018-10-31 07:00:00,0.0
2018-11-01 07:00:00,0.0
2018-11-02 07:00:00,10.0
2018-11-03 07:00:00,0.0
2018-11-04 07:00:00,0.0
2018-11-05 07:00:00,0.0
2018-11-06 07:00:00,0.0
2018-11-07 07:00:00,0.0
2018-11-08 07:00:00,0.0
2018-11-09 07:00:00,0.0
2018-11-10 07:00:00,11.0
2018-11-11 07:00:00,20.0
2018-11-12 07:00:00,4.0
2018-11-13 07:00:00,9.0
2018-11-14 07:00:00,0.0
2018-11-15 07:00:00,1.2
2018-11-16 07:00:00,0.0
2018-11-17 07:00:00,0.0
2018-11-18 07:00:00,0.0
2018-11-19 07:00:00,0.0
2018-11-20 07:00:00,0.0
2018-11-21 07:00:00,0.0
2018-11-22 07:00:00,0.5
2018-11-23 07:00:00,0.0
2018-11-24 07:00:00,0.0
2018-11-25 07:00:00,0.0
2018-11-26 07:00:00,0.0
2018-11-27 07:00:00,5.0
2018-11-28 07:00:00,23.0
2018-11-29 07:00:00,0.0
2018-11-30 07:00:00,1.0
2018-12-01 07:00:00,0.0
2018-12-02 07:00:00,0.0
2018-12-03 07:00:00,0.0
2018-12-04 07:00:00,0.0
2018-12-05 07:00:00,0.0
2018-12-06 07:00:00,0.0
2018-12-07 07:00:00,0.0
2018-12-08 07:00:00,0.0
2018-12-09 07:00:00,0.6
2018-12-10 07:00:00,0.0
2018-12-11 07:00:00,28.0
2018-12-12 07:00:00,0.0
2018-12-13 07:00:00,100.0
2018-12-14 07:00:00,12.0
2018-12-15 07:00:00,0.0
2018-12-16 07:00:00,35.0
2018-12-17 07:00:00,28.0
2018-12-18 07:00:00,0.0
2018-12-19 07:00:00,0.0
2018-12-20 07:00:00,9.5
2018-12-21 07:00:00,0.0
2018-12-22 07:00:00,0.0
2018-12-23 07:00:00,0.0
2018-12-24 07:00:00,0.0
2018-12-25 07:00:00,0.0
2018-12-26 07:00:00,0.0
2018-12-27 07:00:00,0.7
2018-12-28 07:00:00,0.0
2018-12-29 07:00:00,47.0
2018-12-30 07:00:00,0.0
2018-12-31 07:00:00,0.0
2019-01-01 07:00:00,0.0
2019-01-02 07:00:00,47.0
2019-01-03 07:00:00,0.0
2019-01-04 07:00:00,0.0
2019-01-05 07:00:00,0.0
2019-01-06 07:00:00,43.4
2019-01-07 07:00:00,13.0
2019-01-08 07:00:00,0.0
2019-01-09 07:00:00,0.0
2019-01-10 07:00:00,0.3
2019-01-11 07:00:00,0.0
2019-01-12 07:00:00,0.0
2019-01-13 07:00:00,22.5
2019-01-14 07:00:00,0.0
2019-01-15 07:00:00,40.0
2019-01-16 07:00:00,0.0
2019-01-17 07:00:00,0.0
2019-01-18 07:00:00,2.0
2019-01-19 07:00:00,0.0
2019-01-20 07:00:00,0.0
2019-01-21 07:00:00,0.0
2019-01-22 07:00:00,0.0
2019-01-23 07:00:00,0.0
2019-01-24 07:00:00,0.0
2019-01-25 07:00:00,0.0
2019-01-26 07:00:00,0.0
2019-01-27 07:00:00,0.0
2019-01-28 07:00:00,0.0
2019-01-29 07:00:00,12.5
2019-01-30 07:00:00,0.0
2019-01-31 07:00:00,0.0
2019-02-01 07:00:00,0.0
2019-02-02 07:00:00,0.0
2019-02-03 07:00:00,0.0
2019-02-04 07:00:00,0.0
2019-02-05 07:00:00,0.0
2019-02-06 07:00:00,0.0
2019-02-07 07:00:00,0.0
2019-02-08 07:00:00,1.0
2019-02-09 07:00:00,0.0
2019-02-10 07:00:00,4.7
2019-02-11 07:00:00,12.0
2019-02-12 07:00:00,0.0
2019-02-13 07:00:00,0.0
2019-02-14 07:00:00,0.0
2019-02-15 07:00:00,0.0
2019-02-16 07:00:00,0.0
2019-02-17 07:00:00,0.0
2019-02-18 07:00:00,0.0
2019-02-19 07:00:00,0.0
2019-02-20 07:00:00,0.0
2019-02-21 07:00:00,0.0
2019-02-22 07:00:00,6.7
2019-02-23 07:00:00,2.7
2019-02-24 07:00:00,0.0
2019-02-25 07:00:00,0.0
2019-02-26 07:00:00,0.0
2019-02-27 07:00:00,0.0
2019-02-28 07:00:00,0.0
2019-03-01 07:00:00,0.0
2019-03-02 07:00:00,0.0
2019-03-03 07:00:00,0.0
2019-03-04 07:00:00,0.0
2019-03-05 07:00:00,0.0
2019-03-06 07:00:00,0.0
2019-03-07 07:00:00,23.7
2019-03-08 07:00:00,0.0
2019-03-09 07:00:00,0.0
2019-03-10 07:00:00,0.0
2019-03-11 07:00:00,0.0
2019-03-12 07:00:00,5.0
2019-03-13 07:00:00,6.9
2019-03-14 07:00:00,0.0
2019-03-15 07:00:00,0.0
2019-03-16 07:00:00,0.0
2019-03-17 07:00:00,0.5
2019-03-18 07:00:00,0.0
2019-03-19 07:00:00,0.0
2019-03-20 07:00:00,0.0
2019-03-21 07:00:00,0.0
2019-03-22 07:00:00,0.0
2019-03-23 07:00:00,0.0
2019-03-24 07:00:00,0.0
2019-03-25 07:00:00,11.0
2019-03-26 07:00:00,0.0
2019-03-27 07:00:00,0.0
2019-03-28 07:00:00,0.0
2019-03-29 07:00:00,0.0
2019-03-30 07:00:00,0.0
2019-03-31 07:00:00,0.0
2019-04-01 07:00:00,0.0
2019-04-02 07:00:00,0.0
2019-04-03 07:00:00,0.0
2019-04-04 07:00:00,1.3
2019-04-05 07:00:00,0.0
2019-04-06 07:00:00,0.0
2019-04-07 07:00:00,0.0
2019-04-08 07:00:00,0.0
2019-04-09 07:00:00,0.0
2019-04-10 07:00:00,0.0
2019-04-11 07:00:00,0.0
2019-04-12 07:00:00,0.0
2019-04-13 07:00:00,0.0
2019-04-14 07:00:00,0.0
2019-04-15 07:00:00,0.0
2019-04-16 07:00:00,0.0
2019-04-17 07:00:00,0.0
2019-04-18 07:00:00,0.0
2019-04-19 07:00:00,0.0
2019-04-20 07:00:00,0.0
2019-04-21 07:00:00,0.0
2019-04-22 07:00:00,0.0
2019-04-23 07:00:00,0.0
2019-04-24 07:00:00,0.0
2019-04-25 07:00:00,2.0
2019-04-26 07:00:00,9.0
2019-04-27 07:00:00,1.5
2019-04-28 07:00:00,0.0
2019-04-29 07:00:00,0.0
2019-04-30 07:00:00,0.0
2019-05-01 07:00:00,0.0
2019-05-02 07:00:00,0.0
2019-05-03 07:00:00,0.0
2019-05-04 07:00:00,19.0
2019-05-05 07:00:00,10.0
2019-05-06 07:00:00,0.0
2019-05-07 07:00:00,0.0
2019-05-08 07:00:00,0.0
2019-05-09 07:00:00,42.5
2019-05-10 07:00:00,0.0
2019-05-11 07:00:00,0.0
2019-05-12 07:00:00,0.0
2019-05-13 07:00:00,0.0
2019-05-14 07:00:00,0.0
2019-05-15 07:00:00,0.0
2019-05-16 07:00:00,0.0
2019-05-17 07:00:00,0.0
2019-05-18 07:00:00,22.0
2019-05-19 07:00:00,0.0
2019-05-20 07:00:00,41.5
2019-05-21 07:00:00,0.0
2019-05-22 07:00:00,0.0
2019-05-23 07:00:00,0.0
2019-05-24 07:00:00,0.0
2019-05-25 07:00:00,0.0
2019-05-26 07:00:00,0.0
2019-05-27 07:00:00,0.0
2019-05-28 07:00:00,0.0
2019-05-29 07:00:00,0.0
2019-05-30 07:00:00,0.0
2019-05-31 07:00:00,0.0
2019-06-01 07:00:00,0.0
2019-06-02 07:00:00,0.0
2019-06-03 07:00:00,0.0
2019-06-04 07:00:00,0.0
2019-06-05 07:00:00,0.0
2019-06-06 07:00:00,0.0
2019-06-07 07:00:00,0.0
2019-06-08 07:00:00,0.0
2019-06-09 07:00:00,0.0
2019-06-10 07:00:00,0.0
2019-06-11 07:00:00,10.0
2019-06-12 07:00:00,5.0
2019-06-13 07:00:00,22.0
2019-06-14 07:00:00,13.0
2019-06-15 07:00:00,55.0
2019-06-16 07:00:00,28.0
2019-06-17 07:00:00,10.0
2019-06-18 07:00:00,7.0
2019-06-19 07:00:00,0.0
2019-06-20 07:00:00,0.0
2019-06-21 07:00:00,0.5
2019-06-22 07:00:00,0.0
2019-06-23 07:00:00,0.0
2019-06-24 07:00:00,1.2
2019-06-25 07:00:00,0.0
2019-06-26 07:00:00,0.0
2019-06-27 07:00:00,0.0
